filename, language, JSON, Markdown, JavaScript, CSS, XML, SCSS, HTML, JavaScript React, comment, blank, total
c:\Users\gmont\Documents\seknd\src\components\SignIn\SignIn.css, CSS, 0, 0, 0, 10, 0, 0, 0, 0, 1, 0, 11
c:\Users\gmont\Documents\seknd\src\components\SignIn\SignIn.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
c:\Users\gmont\Documents\seknd\src\components\SignIn\SignIn.scss, SCSS, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
c:\Users\gmont\Documents\seknd\src\components\SignIn\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
c:\Users\gmont\Documents\seknd\src\components\index.js, JavaScript, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
c:\Users\gmont\Documents\seknd\src\index.js, JavaScript, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
c:\Users\gmont\Documents\seknd\src\redux\actions\actions.js, JavaScript, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
c:\Users\gmont\Documents\seknd\src\redux\actions\apiActions.js, JavaScript, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
c:\Users\gmont\Documents\seknd\src\redux\actions\eventsActions.js, JavaScript, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
c:\Users\gmont\Documents\seknd\src\redux\actions\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
c:\Users\gmont\Documents\seknd\src\redux\actions\partsActions.js, JavaScript, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
c:\Users\gmont\Documents\seknd\src\redux\actions\placesActions.js, JavaScript, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
c:\Users\gmont\Documents\seknd\src\redux\actions\resultsActions.js, JavaScript, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
c:\Users\gmont\Documents\seknd\src\redux\index.js, JavaScript, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
c:\Users\gmont\Documents\seknd\src\redux\reducers\apiReducer.js, JavaScript, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
c:\Users\gmont\Documents\seknd\src\redux\reducers\datePartsReducer.js, JavaScript, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
c:\Users\gmont\Documents\seknd\src\redux\reducers\eventsReducerAPI.js, JavaScript, 0, 0, 48, 0, 0, 0, 0, 0, 0, 2, 50
c:\Users\gmont\Documents\seknd\src\redux\reducers\index.js, JavaScript, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
c:\Users\gmont\Documents\seknd\src\redux\reducers\placesReducerAPI.js, JavaScript, 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
c:\Users\gmont\Documents\seknd\src\redux\reducers\resultsReducer.js, JavaScript, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
c:\Users\gmont\Documents\seknd\src\server\api\index.js, JavaScript, 0, 0, 82, 0, 0, 0, 0, 0, 0, 10, 92
Total, -, 15996, 37, 2429, 950, 12, 805, 21, 528, 744, 656, 22178
